reviewer_id,review_group,sample_id,event_name,condition,condition_image_path,text_readable,text_completely_invisible,critical_damage_obscured,notes
reviewer-2,main_60,hurricane_harvey__901701789279547392__901701789279547392_1,hurricane_harvey,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_harvey__901701789279547392__901701789279547392_1.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901705136782716928__901705136782716928_1,hurricane_harvey,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_harvey__901705136782716928__901705136782716928_1.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901705136782716928__901705136782716928_1,hurricane_harvey,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_harvey__901705136782716928__901705136782716928_1.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901705136782716928__901705136782716928_1,hurricane_harvey,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_harvey__901705136782716928__901705136782716928_1.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901714497332809728__901714497332809728_0,hurricane_harvey,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_harvey__901714497332809728__901714497332809728_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901714497332809728__901714497332809728_0,hurricane_harvey,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_harvey__901714497332809728__901714497332809728_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901714497332809728__901714497332809728_0,hurricane_harvey,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_harvey__901714497332809728__901714497332809728_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901741728520130560__901741728520130560_0,hurricane_harvey,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_harvey__901741728520130560__901741728520130560_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901741728520130560__901741728520130560_0,hurricane_harvey,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_harvey__901741728520130560__901741728520130560_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901741728520130560__901741728520130560_0,hurricane_harvey,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_harvey__901741728520130560__901741728520130560_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905636384576335872__905636384576335872_0,hurricane_irma,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_irma__905636384576335872__905636384576335872_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905636384576335872__905636384576335872_0,hurricane_irma,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_irma__905636384576335872__905636384576335872_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905636384576335872__905636384576335872_0,hurricane_irma,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_irma__905636384576335872__905636384576335872_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905636651447328768__905636651447328768_2,hurricane_irma,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_irma__905636651447328768__905636651447328768_2.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905636651447328768__905636651447328768_2,hurricane_irma,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_irma__905636651447328768__905636651447328768_2.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905636651447328768__905636651447328768_2,hurricane_irma,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_irma__905636651447328768__905636651447328768_2.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905647872175104001__905647872175104001_0,hurricane_irma,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_irma__905647872175104001__905647872175104001_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905647872175104001__905647872175104001_0,hurricane_irma,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_irma__905647872175104001__905647872175104001_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905647872175104001__905647872175104001_0,hurricane_irma,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_irma__905647872175104001__905647872175104001_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905658298082267140__905658298082267140_0,hurricane_irma,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_irma__905658298082267140__905658298082267140_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905658298082267140__905658298082267140_0,hurricane_irma,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_irma__905658298082267140__905658298082267140_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905658298082267140__905658298082267140_0,hurricane_irma,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_irma__905658298082267140__905658298082267140_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905658650877763584__905658650877763584_0,hurricane_irma,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_irma__905658650877763584__905658650877763584_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905658650877763584__905658650877763584_0,hurricane_irma,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_irma__905658650877763584__905658650877763584_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905658650877763584__905658650877763584_0,hurricane_irma,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_irma__905658650877763584__905658650877763584_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905675466492837888__905675466492837888_0,hurricane_irma,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_irma__905675466492837888__905675466492837888_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905675466492837888__905675466492837888_0,hurricane_irma,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_irma__905675466492837888__905675466492837888_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905675466492837888__905675466492837888_0,hurricane_irma,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_irma__905675466492837888__905675466492837888_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905702343735422976__905702343735422976_0,hurricane_irma,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_irma__905702343735422976__905702343735422976_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905702343735422976__905702343735422976_0,hurricane_irma,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_irma__905702343735422976__905702343735422976_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905702343735422976__905702343735422976_0,hurricane_irma,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_irma__905702343735422976__905702343735422976_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910549146360311808__910549146360311808_0,hurricane_maria,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_maria__910549146360311808__910549146360311808_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910549146360311808__910549146360311808_0,hurricane_maria,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_maria__910549146360311808__910549146360311808_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910549146360311808__910549146360311808_0,hurricane_maria,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_maria__910549146360311808__910549146360311808_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910566731273433091__910566731273433091_0,hurricane_maria,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_maria__910566731273433091__910566731273433091_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910566731273433091__910566731273433091_0,hurricane_maria,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_maria__910566731273433091__910566731273433091_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910566731273433091__910566731273433091_0,hurricane_maria,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_maria__910566731273433091__910566731273433091_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910627521732972544__910627521732972544_0,hurricane_maria,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_maria__910627521732972544__910627521732972544_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910627521732972544__910627521732972544_0,hurricane_maria,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_maria__910627521732972544__910627521732972544_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910627521732972544__910627521732972544_0,hurricane_maria,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_maria__910627521732972544__910627521732972544_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910628198307819522__910628198307819522_0,hurricane_maria,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_maria__910628198307819522__910628198307819522_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910628198307819522__910628198307819522_0,hurricane_maria,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_maria__910628198307819522__910628198307819522_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910628198307819522__910628198307819522_0,hurricane_maria,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_maria__910628198307819522__910628198307819522_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910647323260342272__910647323260342272_0,hurricane_maria,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_maria__910647323260342272__910647323260342272_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910647323260342272__910647323260342272_0,hurricane_maria,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_maria__910647323260342272__910647323260342272_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910647323260342272__910647323260342272_0,hurricane_maria,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_maria__910647323260342272__910647323260342272_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910699932704796672__910699932704796672_0,hurricane_maria,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_maria__910699932704796672__910699932704796672_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910699932704796672__910699932704796672_0,hurricane_maria,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_maria__910699932704796672__910699932704796672_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910699932704796672__910699932704796672_0,hurricane_maria,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_maria__910699932704796672__910699932704796672_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917815040962695168__917815040962695168_2,california_wildfires,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/california_wildfires__917815040962695168__917815040962695168_2.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917815040962695168__917815040962695168_2,california_wildfires,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/california_wildfires__917815040962695168__917815040962695168_2.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917815040962695168__917815040962695168_2,california_wildfires,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/california_wildfires__917815040962695168__917815040962695168_2.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917846485965959168__917846485965959168_0,california_wildfires,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/california_wildfires__917846485965959168__917846485965959168_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917846485965959168__917846485965959168_0,california_wildfires,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/california_wildfires__917846485965959168__917846485965959168_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917846485965959168__917846485965959168_0,california_wildfires,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/california_wildfires__917846485965959168__917846485965959168_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917956700149227520__917956700149227520_0,california_wildfires,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/california_wildfires__917956700149227520__917956700149227520_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917956700149227520__917956700149227520_0,california_wildfires,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/california_wildfires__917956700149227520__917956700149227520_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917956700149227520__917956700149227520_0,california_wildfires,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/california_wildfires__917956700149227520__917956700149227520_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917993008456519681__917993008456519681_0,california_wildfires,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/california_wildfires__917993008456519681__917993008456519681_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917993008456519681__917993008456519681_0,california_wildfires,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/california_wildfires__917993008456519681__917993008456519681_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917993008456519681__917993008456519681_0,california_wildfires,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/california_wildfires__917993008456519681__917993008456519681_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901646559384829953__901646559384829953_0,hurricane_harvey,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_harvey__901646559384829953__901646559384829953_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901646559384829953__901646559384829953_0,hurricane_harvey,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_harvey__901646559384829953__901646559384829953_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901646559384829953__901646559384829953_0,hurricane_harvey,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_harvey__901646559384829953__901646559384829953_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901650362410688513__901650362410688513_0,hurricane_harvey,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_harvey__901650362410688513__901650362410688513_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901650362410688513__901650362410688513_0,hurricane_harvey,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_harvey__901650362410688513__901650362410688513_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901650362410688513__901650362410688513_0,hurricane_harvey,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_harvey__901650362410688513__901650362410688513_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901650454832185344__901650454832185344_0,hurricane_harvey,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_harvey__901650454832185344__901650454832185344_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901650454832185344__901650454832185344_0,hurricane_harvey,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_harvey__901650454832185344__901650454832185344_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901650454832185344__901650454832185344_0,hurricane_harvey,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_harvey__901650454832185344__901650454832185344_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901650574785093632__901650574785093632_0,hurricane_harvey,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_harvey__901650574785093632__901650574785093632_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901650574785093632__901650574785093632_0,hurricane_harvey,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_harvey__901650574785093632__901650574785093632_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_harvey__901650574785093632__901650574785093632_0,hurricane_harvey,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_harvey__901650574785093632__901650574785093632_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905756573280198656__905756573280198656_0,hurricane_irma,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_irma__905756573280198656__905756573280198656_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905756573280198656__905756573280198656_0,hurricane_irma,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_irma__905756573280198656__905756573280198656_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__905756573280198656__905756573280198656_0,hurricane_irma,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_irma__905756573280198656__905756573280198656_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__906927969171656705__906927969171656705_0,hurricane_irma,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_irma__906927969171656705__906927969171656705_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__906927969171656705__906927969171656705_0,hurricane_irma,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_irma__906927969171656705__906927969171656705_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__906927969171656705__906927969171656705_0,hurricane_irma,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_irma__906927969171656705__906927969171656705_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__909377896996892672__909377896996892672_0,hurricane_irma,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_irma__909377896996892672__909377896996892672_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__909377896996892672__909377896996892672_0,hurricane_irma,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_irma__909377896996892672__909377896996892672_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_irma__909377896996892672__909377896996892672_0,hurricane_irma,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_irma__909377896996892672__909377896996892672_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910538720117391360__910538720117391360_1,hurricane_maria,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_maria__910538720117391360__910538720117391360_1.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910538720117391360__910538720117391360_1,hurricane_maria,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_maria__910538720117391360__910538720117391360_1.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910538720117391360__910538720117391360_1,hurricane_maria,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_maria__910538720117391360__910538720117391360_1.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910542863150202886__910542863150202886_0,hurricane_maria,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_maria__910542863150202886__910542863150202886_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910542863150202886__910542863150202886_0,hurricane_maria,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_maria__910542863150202886__910542863150202886_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910542863150202886__910542863150202886_0,hurricane_maria,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_maria__910542863150202886__910542863150202886_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910543811184660481__910543811184660481_0,hurricane_maria,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/hurricane_maria__910543811184660481__910543811184660481_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910543811184660481__910543811184660481_0,hurricane_maria,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/hurricane_maria__910543811184660481__910543811184660481_0.webp,yes,no,no,
reviewer-2,main_60,hurricane_maria__910543811184660481__910543811184660481_0,hurricane_maria,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/hurricane_maria__910543811184660481__910543811184660481_0.webp,yes,no,no,
reviewer-2,main_60,mexico_earthquake__911773444978675712__911773444978675712_0,mexico_earthquake,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/mexico_earthquake__911773444978675712__911773444978675712_0.webp,yes,no,no,
reviewer-2,main_60,mexico_earthquake__911773444978675712__911773444978675712_0,mexico_earthquake,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/mexico_earthquake__911773444978675712__911773444978675712_0.webp,yes,no,no,
reviewer-2,main_60,mexico_earthquake__911773444978675712__911773444978675712_0,mexico_earthquake,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/mexico_earthquake__911773444978675712__911773444978675712_0.webp,yes,no,no,
reviewer-2,main_60,mexico_earthquake__914104822131040256__914104822131040256_0,mexico_earthquake,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/mexico_earthquake__914104822131040256__914104822131040256_0.webp,yes,no,no,
reviewer-2,main_60,mexico_earthquake__914104822131040256__914104822131040256_0,mexico_earthquake,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/mexico_earthquake__914104822131040256__914104822131040256_0.webp,yes,no,no,
reviewer-2,main_60,mexico_earthquake__914104822131040256__914104822131040256_0,mexico_earthquake,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/mexico_earthquake__914104822131040256__914104822131040256_0.webp,yes,no,no,
reviewer-2,main_60,mexico_earthquake__914952139209891852__914952139209891852_1,mexico_earthquake,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/mexico_earthquake__914952139209891852__914952139209891852_1.webp,yes,no,no,
reviewer-2,main_60,mexico_earthquake__914952139209891852__914952139209891852_1,mexico_earthquake,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/mexico_earthquake__914952139209891852__914952139209891852_1.webp,yes,no,no,
reviewer-2,main_60,mexico_earthquake__914952139209891852__914952139209891852_1,mexico_earthquake,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/mexico_earthquake__914952139209891852__914952139209891852_1.webp,yes,no,no,
reviewer-2,main_60,srilanka_floods__870013706935119872__870013706935119872_0,srilanka_floods,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/srilanka_floods__870013706935119872__870013706935119872_0.webp,yes,no,no,
reviewer-2,main_60,srilanka_floods__870013706935119872__870013706935119872_0,srilanka_floods,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/srilanka_floods__870013706935119872__870013706935119872_0.webp,yes,no,no,
reviewer-2,main_60,srilanka_floods__870013706935119872__870013706935119872_0,srilanka_floods,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/srilanka_floods__870013706935119872__870013706935119872_0.webp,yes,no,no,
reviewer-2,main_60,srilanka_floods__870043559076007936__870043559076007936_0,srilanka_floods,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/srilanka_floods__870043559076007936__870043559076007936_0.webp,yes,no,no,
reviewer-2,main_60,srilanka_floods__870043559076007936__870043559076007936_0,srilanka_floods,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/srilanka_floods__870043559076007936__870043559076007936_0.webp,yes,no,no,
reviewer-2,main_60,srilanka_floods__870043559076007936__870043559076007936_0,srilanka_floods,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/srilanka_floods__870043559076007936__870043559076007936_0.webp,yes,no,no,
reviewer-2,main_60,srilanka_floods__870283105151668224__870283105151668224_0,srilanka_floods,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/srilanka_floods__870283105151668224__870283105151668224_0.webp,yes,no,no,
reviewer-2,main_60,srilanka_floods__870283105151668224__870283105151668224_0,srilanka_floods,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/srilanka_floods__870283105151668224__870283105151668224_0.webp,yes,no,no,
reviewer-2,main_60,srilanka_floods__870283105151668224__870283105151668224_0,srilanka_floods,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/srilanka_floods__870283105151668224__870283105151668224_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917794360581869569__917794360581869569_0,california_wildfires,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/california_wildfires__917794360581869569__917794360581869569_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917794360581869569__917794360581869569_0,california_wildfires,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/california_wildfires__917794360581869569__917794360581869569_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917794360581869569__917794360581869569_0,california_wildfires,misleading_image,data/v3/attacks/main/misleading_claim__simple_overlay__medium/california_wildfires__917794360581869569__917794360581869569_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917796883610820608__917796883610820608_0,california_wildfires,benign_image,data/v3/attacks/main/benign__simple_overlay__medium/california_wildfires__917796883610820608__917796883610820608_0.webp,yes,no,no,
reviewer-2,main_60,california_wildfires__917796883610820608__917796883610820608_0,california_wildfires,direct_image,data/v3/attacks/main/direct_instruction__simple_overlay__medium/california_wildfires__917796883610820608__917796883610820608_0.webp,yes,no,no,
